"","user_id","item_id"
"1792",292189,40476
"1793",292189,110821
"1794",292189,337957
"1795",292189,392167
"1796",292189,567378
"1797",292189,152111
"1798",292189,404808
"1799",292189,189820
"1800",292189,169708
"1801",292189,210226
"1802",292189,213829
"1803",292189,324045
"1804",292189,526110
"1805",292189,55629
"1806",292189,227064
"1807",292189,25311
"1808",292189,206975
"1809",292189,179785
"1810",292189,270248
"1811",292189,434897
"1812",292189,490684
"1813",292189,521255
"1814",292189,612520
"1815",292189,112273
"1816",292189,493655
"1817",292189,196558
"1818",292189,38052
"1819",292189,572660
"1831",292189,159645
"1832",292189,581190
"1833",292189,322653
"1834",292189,300924
"1835",292189,517703
"1836",292189,197410
"1837",292189,552527
"1838",292189,529393
"1839",292189,247142
"1840",292189,136144
"1900",292189,170749
"1906",292189,491508
"1907",292189,320375
"1908",292189,496998
"1912",292189,87491
"1913",292189,392367
"1914",292189,290159
"1938",292189,178047
"1939",292189,253724
"2056",618468,9101
"2057",618468,40458
"2058",618468,47528
"2059",618468,146781
"2060",618468,192496
"2061",618468,212016
"2062",618468,452599
"2063",618468,517526
"2095",618468,378073
"2096",618468,247563
"2097",618468,349451
"2098",618468,538823
"2099",618468,600770
"2100",618468,144592
"2101",618468,370371
"2102",618468,382315
"2103",618468,531386
"2908",269263,5980
"2909",269263,40458
"2910",269263,68496
"2911",269263,74968
"2912",269263,96467
"2913",269263,146781
"2914",269263,163101
"2915",269263,166998
"2916",269263,169708
"2917",269263,175835
"2918",269263,180037
"2919",269263,196852
"2920",269263,199467
"2921",269263,212016
"2922",269263,213829
"2923",269263,215524
"2924",269263,239762
"2925",269263,262605
"2926",269263,267723
"2927",269263,267846
"2928",269263,270248
"2929",269263,282465
"2930",269263,304287
"2931",269263,310379
"2932",269263,346457
"2933",269263,347410
"2934",269263,357972
"2935",269263,364441
"2936",269263,376940
"2937",269263,405897
"2938",269263,436056
"2939",269263,440749
"2940",269263,448162
"2941",269263,467178
"2942",269263,489371
"2943",269263,492607
"2944",269263,499437
"2945",269263,526110
"3163",523103,9101
"3164",523103,37625
"3165",523103,40458
"3166",523103,47528
"3167",523103,146781
"3168",523103,167342
"3169",523103,175835
"3170",523103,189820
"3171",523103,192496
"3172",523103,194044
"3173",523103,212016
"3174",523103,357972
"3175",523103,452599
"3176",523103,479777
"3177",523103,517526
"8142",214741,189820
"8143",214741,228988
"8144",214741,492607
"8154",213018,9101
"8155",213018,21931
"8156",213018,40458
"8157",213018,47528
"8158",213018,56437
"8159",213018,74262
"8160",213018,96467
"8161",213018,126944
"8162",213018,160716
"8163",213018,163101
"8164",213018,175835
"8165",213018,179785
"8166",213018,180037
"8167",213018,183450
"8168",213018,189820
"8169",213018,192496
"8170",213018,194044
"8171",213018,210226
"8172",213018,210839
"8173",213018,212016
"8174",213018,215524
"8175",213018,228988
"8176",213018,235966
"8177",213018,239762
"8178",213018,262605
"8179",213018,267723
"8180",213018,270248
"8181",213018,357972
"8182",213018,364441
"8183",213018,436056
"8184",213018,448162
"8185",213018,452599
"8186",213018,467178
"8187",213018,479777
"8188",213018,489371
"8372",967809,163101
"8465",767300,5980
"8466",767300,12563
"8467",767300,40458
"8468",767300,47528
"8469",767300,68496
"8470",767300,74968
"8471",767300,78051
"8472",767300,96467
"8473",767300,126944
"8474",767300,163101
"8475",767300,166998
"8476",767300,175835
"8477",767300,180037
"8478",767300,189820
"8479",767300,194044
"8480",767300,212016
"8481",767300,215524
"8482",767300,228988
"8483",767300,239762
"8484",767300,267723
"8485",767300,267846
"8486",767300,405897
"8487",767300,448162
"8488",767300,489371
"8489",767300,492607
"8490",767300,517526
"8491",767300,532453
"8492",767300,541988
"8493",767300,569179
"8494",767300,569455
"8495",767300,607946
"8496",767300,614243
"8497",767300,476631
"8498",767300,56437
"8499",767300,78149
"8500",767300,339357
"8501",767300,518594
"8502",767300,330362
"8503",767300,470716
"8504",767300,191129
"8505",767300,340716
"8506",767300,408727
"8566",767300,186958
"8567",767300,536395
"8570",767300,135208
"8571",767300,383115
"8572",767300,476232
"8574",767300,174205
"8575",767300,543714
"8576",767300,332477
"8577",767300,406621
"8578",767300,437755
"8579",767300,376659
"8580",767300,67942
"8581",767300,598051
"8582",767300,55815
"8583",767300,345251
"8584",767300,433698
"8585",767300,623465
"8586",767300,377408
"8592",767300,430494
"8593",767300,140673
"8594",767300,536737
"9263",767300,407171
"9264",767300,230793
"9265",767300,262752
"9266",767300,406991
"9267",767300,428189
"9268",767300,251074
"9269",767300,379573
"9270",767300,99340
"9271",767300,313073
"9272",767300,268443
"9273",767300,482010
"9276",767300,473292
"9277",767300,604582
"9278",767300,350874
"9279",767300,516234
"9280",767300,115722
"9282",767300,357273
"9283",767300,362290
"9284",767300,377316
"9514",967809,82199
"9515",967809,558154
"9943",967809,346457
"10080",967809,428105
"10665",786278,47528
"10666",786278,84266
"10667",786278,129462
"10668",786278,175835
"10669",786278,180037
"10670",786278,212016
"10671",786278,479777
"10672",786278,480021
"10673",786278,513856
"10674",786278,432746
"10675",786278,255766
"10676",786278,227499
"10677",786278,120642
"10679",319835,34525
"10680",319835,34812
"10681",319835,75757
"10682",319835,113017
"10683",319835,126535
"10684",319835,131367
"10685",319835,180171
"10686",319835,206975
"10687",319835,228988
"10688",319835,235966
"10689",319835,303578
"10690",319835,322770
"10691",319835,324045
"10692",319835,327881
"10693",319835,347410
"10694",319835,361313
"10695",319835,363219
"10886",536446,25311
"10887",536446,40476
"10888",536446,51137
"10889",536446,67176
"10890",536446,78051
"10891",536446,169708
"10892",536446,179785
"10893",536446,203537
"10894",536446,206975
