"","V1","V2"
"386",8294,19054
"522",727,26782
"523",727,26807
"524",727,26808
"784",7771,25113
"786",8653,5055
"787",8653,5063
"788",8653,5062
"973",8507,11871
"974",8507,11866
"975",8507,25862
"976",8507,26069
"977",8507,11869
"978",8507,11867
"1074",8717,19083
"1339",8764,2301
"1591",4724,20240
"1650",8803,27425
"1651",8803,16358
"1652",8803,9769
"1653",8803,9768
"1654",8803,9765
"1655",8803,27426
"1719",130,619
"1720",130,620
"1727",8814,25042
"1728",8814,10820
"1729",8814,10838
"1730",8814,10830
"1731",8814,10835
"1732",8814,10817
"1733",8814,10836
"1734",8814,10824
"1735",8814,10837
"1736",8814,10834
"1737",8814,10841
"1738",8814,10839
"1739",8814,10833
"1740",8814,10829
"1741",8814,10816
"1742",8814,10822
"1743",8814,10814
"1744",8814,10815
"1745",8814,10818
"1746",8814,10819
"1747",8814,10821
"1748",8814,10825
"1749",8814,10826
"1750",8814,10823
"1751",8814,10827
"1752",8814,10828
"1753",8814,10831
"1754",8814,10832
"1755",8814,10840
"1797",8829,7316
"1798",8829,7317
"1799",8829,7318
"1800",8829,26836
"1801",8829,26575
"1802",8829,27604
"1803",8829,26581
"1804",8829,26570
"1805",8829,26572
"1806",8829,26577
"1807",8829,26580
"1808",8829,26850
"1809",8829,26583
"1810",8829,26617
"1811",8829,26608
"1913",8659,1718
"1932",5337,13891
"1933",5337,15463
"1934",5337,12042
"1935",5337,11090
"1952",1429,24675
"2062",8884,24434
"2210",8915,1003
"2244",8507,28067
"2264",8932,20743
"2265",8932,20742
"2266",8932,20740
"2267",8932,20739
"2283",8932,17010
"2381",8968,28061
"2434",8986,12801
"2462",8986,21309
"2463",8986,21306
"2464",8986,21305
"2465",8986,21318
"2466",8986,21311
"2467",8986,21310
"2468",8986,21312
"2469",8986,6327
"2470",8986,6326
"2471",8986,2438
"2472",8986,2443
"2473",8986,2437
"2575",8986,28545
"2576",8986,28151
"2577",8986,28412
"2578",8986,28280
"2579",8986,28024
"2580",8986,27808
"2581",8986,27880
"2582",8986,27809
"2583",8986,27810
"2584",8986,27812
"2585",8986,27811
"2588",8986,27675
"2589",8986,25093
"2590",8986,26154
"2591",8986,18229
"2592",8986,18219
"2593",8986,18228
"2594",8986,18230
"2595",8986,18216
"2596",8986,18218
"2601",8986,27200
"2602",8986,26208
"2603",8986,28557
"2604",8986,26325
"2605",8986,2926
"2606",8986,2920
"2607",8986,2924
"2608",8986,2921
"2609",8986,2925
"2610",8986,2922
"2611",8986,2919
"2612",8986,2917
"2617",9029,26935
"2618",8986,27245
"2619",8986,28633
"2620",8986,27899
"2639",8986,28650
"2640",8986,11267
"2641",8986,11270
"2642",8986,11268
"2645",8986,28401
"2646",8986,17519
"2647",8986,17510
"2648",8986,17513
"2649",8986,17518
"2650",8986,17514
"2651",8986,17516
"2652",8986,17512
"2659",8986,28393
"2660",8986,28398
"2661",8986,28392
"2662",8986,28395
"2663",8986,28394
"2664",8986,28397
"2665",8986,19342
"2666",8986,25732
"2667",8986,25848
"2672",9037,9239
"2691",6384,28000
"2692",6384,27960
"2694",8986,27515
"2695",8986,27516
"2696",8986,26509
"2697",8986,5119
"2698",8986,5118
"2708",8803,22638
"2709",8803,524
"2710",8803,27698
"2711",8803,26222
"2729",8986,26840
"2730",8986,20493
"2731",8986,13961
"2732",8986,26042
"2733",8986,13960
"2734",8986,28159
"2735",8986,13963
"2736",8986,25714
"2737",8986,13962
"2738",8986,13964
"2750",8986,28374
"2751",8986,14539
"2752",8986,25715
"2753",8986,14518
"2754",8986,14537
"2796",8986,28106
"2797",8986,28107
"2798",9091,6791
"2804",9078,11270
"2805",9078,28650
"2949",9078,1716
"2950",9078,1696
"2951",9078,1714
"2952",9078,1711
"2953",9078,1692
"2954",9078,1718
"2955",9078,1702
"2957",9078,13961
"2958",9078,25714
"2959",9078,28159
"2960",9078,13962
"2984",8986,12172
"2985",8986,12173
"2986",8986,12174
"2987",8986,12177
"2988",8986,12176
"2989",8986,12175
"2990",8986,12171
"2991",8986,12179
"3008",3040,28848
"3009",3040,28849
"3010",3040,28850
"3011",3040,28851
"3012",3040,28852
"3013",3040,28853
"3014",3040,28854
"3015",3040,28855
"3016",3040,28856
"3017",3040,28857
"3127",8986,13609
"3128",8986,13607
"3129",8986,13608
"3130",8986,13606
"3131",8986,26014
"3132",8986,10870
"3172",8986,29231
"3173",8986,29230
"3174",8986,29229
"3216",8986,28883
"3226",5337,26976
"3296",4278,26010
"3297",4278,26011
"3319",9160,29254
"3339",9188,29414
"3383",8986,29435
"3384",8986,28008
"3385",8986,27896
"3386",8986,27798
"3387",8986,27826
"3388",8986,27730
"3389",8986,27882
"3392",8986,27731
"3393",8986,27725
"3394",8986,27727
"3395",8986,27726
"3396",8986,27734
"3397",8986,27729
"3398",8986,27733
"3399",8986,27728
"3400",8986,27732
"3409",8986,28882
"3410",8986,28434
"3411",8986,28185
"3412",8986,28184
"3413",8986,28186
