"","user_id","track_id","timestamp"
"1908",4401,9058,"2010-01-02 02:23:45"
"1912",4401,9058,"2010-01-02 02:23:54"
"1914",4401,9058,"2010-01-02 02:24:00"
"1917",4401,9061,"2010-01-02 02:25:13"
"1938",4401,9060,"2010-01-02 02:35:41"
"1939",4401,9074,"2010-01-02 02:35:52"
"1940",4401,9074,"2010-01-02 02:35:55"
"1941",4401,9074,"2010-01-02 02:35:57"
"1942",4401,9075,"2010-01-02 02:36:00"
"1943",4401,9075,"2010-01-02 02:36:02"
"1944",4401,9058,"2010-01-02 02:36:06"
"1945",4401,9058,"2010-01-02 02:36:08"
"2942",119,28216,"2010-01-02 18:17:10"
"2947",119,28217,"2010-01-02 18:20:56"
"2949",119,28218,"2010-01-02 18:23:16"
"3598",279,38861,"2010-01-02 21:59:19"
"3610",279,36044,"2010-01-02 22:02:07"
"3611",279,26784,"2010-01-02 22:02:08"
"3612",279,26784,"2010-01-02 22:02:10"
"5931",43398,33679,"2010-01-04 11:36:47"
"5943",43398,19896,"2010-01-04 11:45:57"
"5944",43398,19897,"2010-01-04 11:46:07"
"5999",45533,21417,"2010-01-04 13:55:55"
"6000",45533,21415,"2010-01-04 13:57:18"
"6001",45533,31746,"2010-01-04 13:57:21"
"6093",2377,38744,"2010-01-04 15:52:23"
"6094",2377,38705,"2010-01-04 15:52:29"
"6095",2377,37556,"2010-01-04 15:52:35"
"6096",2377,37155,"2010-01-04 15:52:54"
"6097",2377,37388,"2010-01-04 15:53:06"
"6098",2377,36951,"2010-01-04 15:53:15"
"6115",45533,30406,"2010-01-04 16:12:20"
"6116",45533,2086,"2010-01-04 16:12:54"
"6121",45533,2082,"2010-01-04 16:17:23"
"6128",45533,31889,"2010-01-04 16:20:23"
"6143",45533,25633,"2010-01-04 16:24:39"
"6149",45533,25636,"2010-01-04 16:30:16"
"6160",45533,25634,"2010-01-04 16:35:26"
"6172",45533,2167,"2010-01-04 16:39:03"
"6173",45533,2161,"2010-01-04 16:39:05"
"6178",45533,2167,"2010-01-04 16:43:50"
"6179",45533,11409,"2010-01-04 16:44:27"
"6181",45533,11268,"2010-01-04 16:45:38"
"6182",45533,25497,"2010-01-04 16:45:59"
"7541",39115,18612,"2010-01-05 13:44:17"
"7548",39115,7787,"2010-01-05 13:56:54"
"7549",39115,7787,"2010-01-05 13:57:17"
"7551",39115,28889,"2010-01-05 13:59:20"
"7553",39115,28925,"2010-01-05 14:03:29"
"7554",39115,25838,"2010-01-05 14:03:30"
