"","V1","V2"
"3",8426,21676
"4",8426,21416
"8",8446,1980
"9",8446,1983
"10",8446,20747
"11",8446,20753
"14",8446,6259
"15",8446,1240
"34",8446,4124
"35",8446,8332
"36",8446,8356
"37",8446,25864
"40",8446,17336
"41",8446,21416
"55",8446,23310
"60",8616,7263
"61",8616,7434
"94",8426,22222
"95",8426,22223
"96",8426,22224
"97",8426,15581
"126",8446,9035
"127",8446,9034
"128",8446,9032
"275",2258,23652
"354",8557,1853
"355",8557,4384
"356",8557,8935
"357",8557,5851
"358",8557,3862
"359",8557,7494
"360",8557,103
"361",8557,6484
"434",8616,24745
"631",8624,9765
"669",8638,6270
"695",8446,485
"697",8446,10143
"698",8446,486
"715",8644,23996
"716",8645,15808
"717",8645,15768
"718",8645,15767
"742",8446,20021
"751",8651,24745
"752",8651,24742
"753",8651,24743
"754",8651,6196
"755",8651,6189
"756",8651,6194
"757",8651,6198
"758",8651,6197
"759",8651,6192
"760",8651,6193
"761",8651,6195
"762",8651,5049
"763",8651,5050
"764",8651,5054
"765",8651,5055
"766",8651,5056
"767",8651,5057
"768",8651,5058
"769",8651,5060
"770",8651,5061
"771",8651,5062
"772",8651,5063
"773",8651,5064
"774",8651,5065
"775",8651,5066
"791",8651,26958
"792",8651,26966
"793",8651,26961
"864",8671,7333
"922",8616,2085
"946",447,3361
"947",447,26463
"948",447,26466
"949",447,24978
"973",8507,11871
"974",8507,11866
"975",8507,25862
"976",8507,26069
"977",8507,11869
"978",8507,11867
"1214",8616,2402
"1233",966,14615
"1355",8446,27389
"1356",8446,27189
"1357",8446,26058
"1358",8446,26056
"1359",8446,6556
"1360",8446,6553
"1361",8446,14477
"1422",447,27205
"1450",8780,23078
"1451",8780,23079
"1452",8780,23080
"1453",8780,23084
"1454",8780,23083
"1455",8780,23081
"1456",8780,23082
"1467",8616,27213
"1468",8616,17341
"1484",8787,27205
"1485",8787,5066
"1486",8787,5065
"1487",8787,5063
"1488",8787,5061
"1489",8787,5050
"1490",8787,5054
"1491",8787,5057
