"","V1","V2"
"56",472,15116
"57",472,4109
"58",472,1697
"59",472,6271
"240",472,19237
"241",472,11784
"262",472,14152
"264",6964,13962
"265",6964,8936
"266",6964,20817
"267",6964,7222
"268",6964,1714
"269",6964,8320
"270",6964,20819
"271",6964,20738
"272",6964,8318
"273",6964,13964
"274",6964,13961
"279",8611,17260
"315",5350,9035
"316",5350,9036
"442",81,2167
"478",5047,17264
"479",5047,17260
"480",5047,17262
"481",5047,25120
"482",5047,20819
"488",5047,7146
"817",8666,9029
"895",8673,23481
"980",8666,13629
"981",8666,22557
"994",8666,21417
"1101",8724,27025
"1201",8733,19673
"1202",8733,19674
"1233",966,14615
"1256",8724,21568
"1257",8724,21676
"1258",8724,13630
"1269",8724,21416
"1331",8760,17584
"1469",8784,9058
"1470",8784,9064
"1471",8784,9071
"1472",8784,9074
"1473",8784,9067
"1760",8447,26465
"1761",8447,20742
"1762",8447,20740
"1763",8447,20738
"1776",8821,26042
"1777",8821,13962
"1778",8821,25714
"1812",8830,19673
"1813",8830,19674
"1818",8666,22222
"1825",8522,26068
"1826",8522,11875
"1827",8522,26066
"1828",8522,26067
"1829",8522,11874
"1830",8522,26069
"1831",8522,25862
"1832",8522,11866
"1833",8522,11870
"1834",8522,11869
"1835",8522,11868
"1836",8522,11871
"1837",8522,9067
"1838",8522,9069
"1839",8522,9066
"1840",8522,9065
"1841",8522,9061
"1842",8522,9057
"1843",8522,2167
"1844",8522,2166
"1845",8522,2165
"1846",8522,10146
"1847",8522,10141
"1848",8522,440
"1849",8522,439
"1850",8522,482
"1851",8522,481
"1852",8522,2163
"1853",8522,2162
"1856",1616,25163
"1893",8666,22604
"1916",8849,3361
"1918",8849,1099
"1919",8760,17720
"1949",8666,21416
"1972",8454,27735
"1973",8861,5059
"2039",8877,10146
"2054",8882,12891
"2077",8447,15868
"2260",8666,7316
"2261",8666,2166
"2262",8666,21568
"2263",8666,15204
"2384",1409,28283
"2385",1409,28148
"2386",1409,28059
"2479",2908,28216
"2480",2908,28217
"2481",2908,28218
"2493",472,2920
"2597",9026,22800
"2598",9026,22808
"2600",9028,26075
"2624",9032,19673
"2625",9032,19674
"2693",1266,13449
"2746",1266,27779
"2798",9091,6791
"2799",6964,10661
"2800",6964,8649
"2803",9095,14954
"3053",9147,2164
"3054",9147,6578
"3055",9147,6579
"3539",8882,27653
"3540",8882,28106
"3541",8882,28730
"3542",8882,26042
"3543",8882,28108
"3544",3466,27205
"3606",8882,28650
"3963",9262,6258
"3964",9262,9032
"3965",9262,13832
"3985",9270,2739
"4105",8447,29567
"4106",8447,28061
"4107",8447,23365
"4108",9108,6821
"4109",9108,6820
"4136",8447,5058
"4806",9328,27425
"4807",9328,27426
"4808",9328,9765
"4809",9328,9768
"4810",9328,9769
"4811",9328,16358
"5197",9365,82
"5198",9365,83
"5199",9365,85
"5200",9365,86
"5201",9365,88
"5202",9365,89
"5203",9365,90
"5204",9365,3017
"5206",9365,1861
"5207",9365,1858
"5208",9365,1856
"5209",9365,1855
"5210",9365,1857
"5211",9365,9058
"5212",9365,9059
"5214",9365,9062
"5215",9365,9063
"5216",9365,9067
"5217",9365,9073
"5218",9365,9074
"5219",9365,149
"5220",9365,146
"5221",9365,151
"5222",9365,150
"5223",9365,14939
"5224",9365,14938
"5225",9365,27205
"5226",9365,5066
"5227",9365,5065
"5228",9365,5059
"5229",9365,5056
"5230",9365,5055
"5231",9365,5063
"5232",9365,5064
"5233",9365,5062
"5234",9365,5060
"5235",9365,5061
"5236",9365,5050
"5237",9365,5052
"5238",9365,5058
"5239",9365,5054
"5240",9365,5053
"5241",9365,5057
"5242",9365,5049
"5243",9365,5051
"5244",9365,6280
"5245",9365,30158
"5246",9365,18753
"5247",9365,18751
"5248",9365,18750
"5249",9365,14108
"5250",9365,6402
"5251",9365,6403
"5252",9365,24927
"5276",9365,26248
"5277",9365,27483
"5307",9365,30321
"5308",9365,29199
"5309",9365,28557
"5310",9365,26325
"5311",9365,2926
"5312",9365,2920
"5313",9365,2924
"5314",9365,2921
"5315",9365,2925
"5316",9365,2922
"5317",9365,2919
"5318",9365,2917
"5598",9365,24586
"5599",9365,21439
"5772",742,7471
"5773",742,7469
"5774",742,7470
"5778",9365,9294
"5781",9365,81
"5782",9365,84
"5783",9365,87
"5868",542,28650
"5869",542,27483
"5874",9416,19882
"5875",9416,29446
"5881",9423,2986
"5884",9365,29414
"5885",9365,28394
"5886",9365,28395
"5887",9365,1978
"5916",542,26248
"5996",472,1861
"6190",8760,25963
"6251",9471,20742
"6252",9471,6238
"6314",9471,12985
"6376",9365,30969
"6377",9365,12173
"6378",9365,12174
"6379",9365,12175
"6380",9365,12176
"6381",9365,12177
"6382",9365,12172
"6383",9365,12171
"6384",9365,12179
